Country,Region,Zone,ISO3,Admin2 Pcode,Admin1 Pcode,Events,date
Ethiopia,Oromia,Arsi,ETH,ET0408,ET04,11,2018-06-01
Ethiopia,Oromia,East Bale,ETH,ET0421,ET04,0,2018-06-01
Ethiopia,Oromia,East Wellega,ETH,ET0402,ET04,1,2018-06-01
Ethiopia,Sidama,Sidama,ETH,ET1600,ET16,4,2018-06-01
Ethiopia,SNNP,Amaro,ETH,ET0721,ET07,0,2018-06-01
Ethiopia,SNNP,Basketo,ETH,ET0716,ET07,0,2018-06-01
Ethiopia,South West,Bench Sheko,ETH,ET1103,ET11,0,2018-06-01
Ethiopia,SNNP,Gedeo,ETH,ET0705,ET07,0,2018-06-01
Ethiopia,South West,Sheka,ETH,ET1101,ET11,0,2018-06-01
Ethiopia,Somali,Siti,ETH,ET0501,ET05,0,2018-06-01
Ethiopia,Amhara,South Gondar,ETH,ET0302,ET03,0,2018-06-01
Ethiopia,Amhara,South Wello,ETH,ET0304,ET03,0,2018-06-01
Ethiopia,Benshangul/Gumuz,Asosa,ETH,ET0603,ET06,5,2018-06-01
Ethiopia,Oromia,East Shewa,ETH,ET0407,ET04,0,2018-06-01
Ethiopia,Oromia,Guji,ETH,ET0414,ET04,0,2018-06-01
Ethiopia,South West,Dawuro,ETH,ET1104,ET11,0,2018-06-01
Ethiopia,SNNP,Gamo,ETH,ET0710,ET07,0,2018-06-01
Ethiopia,South West,Kefa,ETH,ET1102,ET11,0,2018-06-01
Ethiopia,SNNP,Siltie,ETH,ET0720,ET07,0,2018-06-01
Ethiopia,Somali,Doolo,ETH,ET0507,ET05,0,2018-06-01
Ethiopia,Somali,Fafan,ETH,ET0502,ET05,3,2018-06-01
Ethiopia,Somali,Liban,ETH,ET0509,ET05,0,2018-06-01
Ethiopia,Tigray,Central Tigray,ETH,ET0102,ET01,0,2018-06-01
Ethiopia,Afar,Gabi-Zone 3,ETH,ET0203,ET02,1,2018-06-01
Ethiopia,Amhara,Central Gondar,ETH,ET0311,ET03,0,2018-06-01
Ethiopia,Benshangul/Gumuz,Metekel,ETH,ET0602,ET06,0,2018-06-01
Ethiopia,Oromia,Bale,ETH,ET0411,ET04,1,2018-06-01
Ethiopia,Oromia,Borena,ETH,ET0412,ET04,0,2018-06-01
Ethiopia,Oromia,East Hararge,ETH,ET0410,ET04,19,2018-06-01
Ethiopia,Oromia,West Hararge,ETH,ET0409,ET04,2,2018-06-01
Ethiopia,SNNP,Gofa,ETH,ET0715,ET07,0,2018-06-01
Ethiopia,South West,Mirab Omo,ETH,ET1105,ET11,0,2018-06-01
Ethiopia,SNNP,South Omo,ETH,ET0707,ET07,0,2018-06-01
Ethiopia,Somali,Afder,ETH,ET0508,ET05,0,2018-06-01
Ethiopia,Afar,Hari-Zone 5,ETH,ET0205,ET02,0,2018-06-01
Ethiopia,Amhara,Wag Hamra,ETH,ET0308,ET03,0,2018-06-01
Ethiopia,Dire Dawa,Dire Dawa urban,ETH,ET1501,ET15,1,2018-06-01
Ethiopia,Oromia,West Arsi,ETH,ET0417,ET04,0,2018-06-01
Ethiopia,SNNP,Burji,ETH,ET0722,ET07,0,2018-06-01
Ethiopia,SNNP,Hadiya,ETH,ET0702,ET07,0,2018-06-01
Ethiopia,SNNP,Welayta,ETH,ET0706,ET07,0,2018-06-01
Ethiopia,Somali,Jarar,ETH,ET0503,ET05,0,2018-06-01
Ethiopia,Somali,Korahe,ETH,ET0505,ET05,0,2018-06-01
Ethiopia,Tigray,Western Tigray,ETH,ET0105,ET01,0,2018-06-01
Ethiopia,Afar,Fanti-Zone 4,ETH,ET0204,ET02,0,2018-06-01
Ethiopia,Afar,Kilbati-Zone 2,ETH,ET0202,ET02,1,2018-06-01
Ethiopia,Amhara,Awi,ETH,ET0309,ET03,0,2018-06-01
Ethiopia,Benshangul/Gumuz,Mao Komo Special,ETH,ET0605,ET06,0,2018-06-01
Ethiopia,Dire Dawa,Dire Dawa rural,ETH,ET1502,ET15,1,2018-06-01
Ethiopia,Harari,Harari,ETH,ET1301,ET13,1,2018-06-01
